,summed_mean_abs_shap
TOPSIN_ET_lkg_C385pf (+71 correlated features),0.6385707403824527
MEASURE_ET_Cap1pf_0 (+81 correlated features),0.35338219797375153
OHMIC_ET_Rc_an_ct2 (+51 correlated features),0.2822312645219013
MEASURE_ET_DC_Stress_Id_stress_before,0.15408574844205025
TOPSIN_ET_DC_PIV_Drain_Lag_1 (+10 correlated features),0.11201937177014061
MEASURE_ET_ABVIETCH,0.11146816979031705
MEASURE_ET_DC_Big_S12dB_10GHz,0.09228528728986696
MEASURE_ET_Gm_m2 (+198 correlated features),0.08166383901660335
OHMIC_ET_Rsh_an_ct2,0.054858552789613275
MEASURE_ET_DC_RF2_MAG_26GHz,0.04766691946238565
THIN_ET_Rcat_cn_3 (+3 correlated features),0.04763320193477625
MEASURE_ET_DC_SMALL_Ids_m0p2,0.04740637723426689
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,0.03803082491890282
SIN_ET_DC_RF_Vbin_gs,0.036891361805092844
FIC_ET_DC_RF_Vbgs_0p01,0.03476757830858863
MEASURE_ET_DC_Big_Vg_optt2,0.03337174575829234
MEASURE_ET_DC_RF_K_W,0.027210335102212598
MEASURE_ET_DC_RF2_S21ang_26GHz,0.02599401541738637
THIN_ET_TF_AB_1,0.02475948227610042
MEASURE_ET_DC_RF2_S22dB_26GHz,0.02440975460154235
TOPSIN_ET_R_f_hr_3,0.022917088508576454
MaskSetSupplyChipsCount,0.02186537971148144
MEASURE_ET_RF_Modeling_S21_25G_Before,0.021282015032578507
MEASURE_ET_VIA_KLV,0.016652201539113506
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,0.01500920937277066
FIC_ET_DC_RF_Vg_max_Vd_0p1mA,0.015000799787330462
MEASURE_ET_Rc_f_hr_23 (+1 correlated features),0.01487886994157372
MEASURE_ET_R414,0.014528356874033517
MEASURE_ET_DC_RF_Min_S21_Freq_L1018,0.014406736434084471
MEASURE_ET_DC_SEC_X_Ig_cut2_mAmm_neg,0.013989323877546124
OHMIC_ET_sh_GA142,0.013512410720231684
MEASURE_ET_DC_Diode_Rs_9p5,0.012901431677880175
ANODE_ET_Ran_con_1,0.012696909992139037
TOPSIN_ET_Load_Pull_PhL_meas,0.012528287963540054
MEASURE_ET_DC_RF_Min_S21_Ph_L1002,0.012474978321711717
MEASURE_ET_DC_RF_Vbgs_0p01,0.012468934065391079
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2,0.012393563133988018
TOPSIN_ET_DC_RF_Vds_max,0.011298729420151834
FIC_ET_Probe_Number,0.011049691730783963
TOPSIN_ET_DC_SMALL_Vds_max,0.010786652460039929
SIN_GATE_ET_RGAN2,0.010733713065706219
MEASURE_ET_RF_Modeling_S12ang_10GHz,0.01071076313133162
MEASURE_ET_RGAN1,0.010703752140953478
MEASURE_ET_RF_Modeling_Ft,0.010542384995540588
TOPSIN_ET_DC_SMALL_Vbgd_0p1,0.010482921301858072
FIC_ET_G_per_25,0.009700587811073285
MEASURE_ET_DC_SEC_X_Ig_mAmm_at_Vg_cond_neg,0.00967430706589042
THIN_ET_C_AN_2,0.009547636707828237
MEASURE_ET_C_AN_2_OW_CR,0.009500219440097449
MEASURE_ET_DC_SEC_X_Id_at_Vboff_mA_mm_SD3p5,0.009070921030061204
MEASURE_ET_RF_Modeling_Tau,0.009029958124102256
TFRP_ET_Rsh_TFR2,0.008970104017065172
MEASURE_ET_R_f_hr_3,0.008544058338548762
FIC_ET_Bad_Gates,0.008407958192258869
MEASURE_ET_DC_SEC_X_Id_plus_Ig_at_Vboff_mA_mm_FPSD3p2,0.008401643209507521
MEASURE_ET_DC_RF2_S11dB_26GHz,0.008229616706593773
MEASURE_ET_DC_RF_CF_S22_Mag_L2180,0.008163430953582266
MEASURE_ET_DC_PIV_Ids0_QP1,0.007943151358451587
TOPSIN_ET_R414,0.007924207512283727
MEASURE_ET_DC_SEC_S_Id_at_Vboff_mA_mm_FPSD3p2,0.007899635105351384
MEASURE_ET_RF_Modeling_MAG_19G_Before,0.007778983589634012
